Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
08/24/2018,CHRY,4D,,BLU,AV79442,IL,10300 S. Doty,(773) 568-8495,2857404
07/25/2018,JEEP,LL,,TAN,,,701 N. Sacramento,(773) 265-7605,6929506
08/24/2018,KIA,4D,,MAR,AB95643,IL,701 N. Sacramento,(773) 265-7605,6932266
09/21/2018,PLYM,4D,,WHI,AS81598,IL,10300 S. Doty,(773) 568-8495,2859521
08/24/2018,DODG,4D,,WHI,AV45494,IL,10300 S. Doty,(773) 568-8495,2857403
08/24/2018,LEXS,4D,,TAN,AR70641,IL,10300 S. Doty,(773) 568-8495,2857411
08/24/2018,ACUR,4H,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6932303
07/27/2018,FORD,4D,,GRY,AS69399,IL,701 N. Sacramento,(773) 265-7605,6929722
08/25/2018,DODG,LL,,WHI,AD26836,IL,701 N. Sacramento,(773) 265-7605,6932435
08/25/2018,BMW,2D,,SIL,Y897764,IL,701 N. Sacramento,(773) 265-7605,6932433
08/26/2018,PONT,4D,GRM,BLK,AM99084,IL,701 N. Sacramento,(773) 265-7605,6932621
08/26/2018,TOYT,4D,,SIL,AE71451,IL,701 N. Sacramento,(773) 265-7605,6932620
08/26/2018,BMW,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6932622
08/23/2018,NISS,4D,,GLD,Y752815,IL,701 N. Sacramento,(773) 265-7605,6932228
09/21/2018,BUIC,4D,,TAN,880251,IL,701 N. Sacramento,(773) 265-7605,6934942
09/22/2018,DODG,4D,,MAR,C174394,IN,10300 S. Doty,(773) 568-8495,2859533
07/26/2018,GMC,LL,,BLK,HETTL6,IL,701 N. Sacramento,(773) 265-7605,6929601
09/22/2018,HOND,4D,,GRN,AV93254,IL,10300 S. Doty,(773) 568-8495,2859538
09/22/2018,CHRY,2D,,RED,WMO782,IN,10300 S. Doty,(773) 568-8495,2859535
08/24/2018,MERC,LL,,BLK,P770310,IL,701 N. Sacramento,(773) 265-7605,6932298
08/24/2018,NISS,4D,,SIL,R642131,IL,701 N. Sacramento,(773) 265-7605,6932294
09/22/2018,CHEV,4D,,GRY,AH84479,IL,10300 S. Doty,(773) 568-8495,2859541
09/22/2018,NISS,LL,TK,MAR,660784,IL,10300 S. Doty,(773) 568-8495,2859540
09/22/2018,CHEV,2T,,BLK,110V233,IL,10300 S. Doty,(773) 568-8495,2859543
07/27/2018,HOND,2D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2855313
09/22/2018,NISS,LL,,LGR,131665,IL,701 N. Sacramento,(773) 265-7605,6935008
09/22/2018,FORD,LL,,BLK,AG38169,IL,701 N. Sacramento,(773) 265-7605,6935015
09/22/2018,HYUN,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6935026
09/22/2018,CHEV,4T,,BLK,Z75208,IL,701 N. Sacramento,(773) 265-7605,6934992
07/26/2018,FORD,LL,,BLK,Z677358,IL,701 N. Sacramento,(773) 265-7605,6929561
08/24/2018,CADI,4D,,BLK,AJ75749,IL,701 N. Sacramento,(773) 265-7605,6932278
08/22/2018,TOYT,2D,,BLU,DL6563D,IL,400 E. Lower Wacker,(312) 744-7550,991492
08/24/2018,TOYT,2D,,RED,513TND,IN,10300 S. Doty,(773) 568-8495,2857418
08/24/2018,CADI,4D,,WHI,R755418,IL,10300 S. Doty,(773) 568-8495,2857413
08/24/2018,NISS,4D,,GRY,AW23350,IL,701 N. Sacramento,(773) 265-7605,6932309
07/26/2018,CHRY,4D,,SIL,912T675,IL,10300 S. Doty,(773) 568-8495,2855259
07/27/2018,VOLK,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2855308
08/25/2018,CHEV,LL,,BLU,947THR,IN,10300 S. Doty,(773) 568-8495,2857468
08/25/2018,FORD,4D,,RED,Q647430,IL,701 N. Sacramento,(773) 265-7605,6932456
08/25/2018,CHEV,4D,,BLK,Y929921,IL,701 N. Sacramento,(773) 265-7605,6932454
08/25/2018,LINC,4D,,TAN,A154274,IL,701 N. Sacramento,(773) 265-7605,6932453
08/25/2018,CHRY,VC,,TAN,,IL,10300 S. Doty,(773) 568-8495,2857501
08/25/2018,VOLK,4D,,MAR,AS29239,IL,10300 S. Doty,(773) 568-8495,2857502
08/26/2018,NISS,4D,,SIL,Q793284,IL,701 N. Sacramento,(773) 265-7605,6932555
08/26/2018,TOYT,4D,,GLD,AJ43122,IL,701 N. Sacramento,(773) 265-7605,6932553
08/24/2018,AUDI,4D,,DBL,,IL,701 N. Sacramento,(773) 265-7605,6932231
09/21/2018,DODG,4D,,GRY,L119143,IL,701 N. Sacramento,(773) 265-7605,6934938
07/26/2018,FORD,4D,TAU,SIL,K406919,IL,10300 S. Doty,(773) 568-8495,2855243
07/26/2018,CHEV,4D,,GRY,AT52058,IL,701 N. Sacramento,(773) 265-7605,6929581
08/24/2018,JEEP,LL,TK,TAN,AHFG67,FL,701 N. Sacramento,(773) 265-7605,6932300
07/24/2018,LEXS,,,,,IL,10300 S. Doty,(773) 568-8495,2855180
07/26/2018,VOLK,LL,,WHI,P174574,IL,10300 S. Doty,(773) 568-8495,2855248
08/26/2018,TOYT,LL,,WHI,ZZ69241,IL,701 N. Sacramento,(773) 265-7605,6932598
08/26/2018,MAZD,4D,,BLU,02690BY,MD,701 N. Sacramento,(773) 265-7605,6932597
08/27/2018,FORD,4D,,WHI,A196488,IL,10300 S. Doty,(773) 568-8495,2857575
08/24/2018,DODG,VN,,TAN,951108,IL,701 N. Sacramento,(773) 265-7605,6932236
09/21/2018,BUIC,4D,,TAN,BLD5921,GA,10300 S. Doty,(773) 568-8495,2859522
09/21/2018,SATR,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1718602
08/24/2018,CHEV,LL,,WHI,DRT9751,MI,701 N. Sacramento,(773) 265-7605,6932235
09/21/2018,FORD,LL,TK,BLU,Z786099,IL,10300 S. Doty,(773) 568-8495,2859526
09/21/2018,ACUR,LL,,RED,Q456539,IL,10300 S. Doty,(773) 568-8495,2859524
09/21/2018,CHEV,4D,,SIL,E805863,IL,10300 S. Doty,(773) 568-8495,2859525
