Date,Period,AMZN,NFLX,,,,,,,,,,,Exponential Smoothening,Alpha 1,Ft1A,Ft1N,MAPE A 1,Avg MAPE A 1,MAPE N 1, Avg MAPE N 1,Alpha 2,Ft2A,Ft2N,MAPE A 2,Avg MAPE A 2,MAPE N 2, Avg MAPE N 2,Alpha 3,Ft3A,Ft3N,MAPE A 3,Avg MAPE A 3,MAPE N 3, Avg MAPE N 3,Alpha 4,Ft4A,Ft4N,MAPE A 4,Avg MAPE A 4,MAPE N 4, Avg MAPE N 4,,Adjusted Exponential Smoothening,,Beta 1,T1A,AftA,MAPE A,Avg MAPE A,T1N,AftN,MAPE N,Avg MAPE N,Beta 2,T2A,AftA,MAPE A,Avg MAPE A,T2N,AftN,MAPE N,Avg MAPE N,Beta 3,T3A,AftA,MAPE A,Avg MAPE A,T3N,AftN,MAPE N,Avg MAPE N,Beta 4,T4A,AftA,MAPE A,Avg MAPE A,T4N,AftN,MAPE N,Avg MAPE N
1/2/2020,1,94.90049744,329.8099976,,,,,,,,,,,,0.3,94.900,329.810,,2.356%,,0.026,0.45,94.900,329.810,,2.054%,,2.228%,0.6,94.90049744,329.810,,1.900%,,2.079%,0.75,94.90049744,329.810,,1.815%,,2.031%,,,,0.3,0.000,94.900,,1.822%,0.000,329.810,,2.074%,0.45,0.000,94.900,,1.808%,0.000,329.810,,2.076%,0.6,0.000,94.900,,1.804%,0.000,329.810,,2.107%,0.75,0.000,94.900,,1.809%,0.000,329.810,,2.15%
1/3/2020,2,93.74849701,325.8999939,,,,,,,,,,,,,94.900,329.810,0.012,,0.012,,,94.900,329.810,0.012,,0.012,,,94.900,329.810,0.012,,0.012,,,94.900,329.810,0.012,,0.012,,,,,,0.000,94.900,0.012,,0.000,329.810,0.012,,,0.000,94.900,0.012,,0.000,329.810,0.012,,,0.000,94.900,0.012,,0.000,329.810,0.012,,,0.000,94.900,0.012,,0.000,329.810,0.012,
1/6/2020,3,95.14399719,335.8299866,,,,,,,,,,,,,94.555,328.637,0.006,,0.021,,,94.382,328.050,0.008,,0.023,,,94.209,327.464,0.010,,0.025,,,94.036,326.877,0.012,,0.027,,,,,,-0.207,94.002,0.012,,-0.704,326.760,0.027,,,-0.311,93.898,0.013,,-1.056,326.408,0.028,,,-0.415,93.795,0.014,,-1.408,326.056,0.029,,,-0.518,93.691,0.015,,-1.760,325.704,0.030,
1/7/2020,4,95.34300232,330.75,,,,,,,,,,,,,94.732,330.795,0.006,,0.000,,,94.725,331.551,0.006,,0.002,,,94.770,332.484,0.006,,0.005,,,94.867,333.592,0.005,,0.009,,,,,,0.023,94.793,0.006,,1.013,333.497,0.008,,,0.081,94.851,0.005,,1.678,334.162,0.010,,,0.171,94.941,0.004,,2.449,334.932,0.013,,,0.291,95.061,0.003,,3.325,335.808,0.015,
1/8/2020,5,94.59850311,339.2600098,,,,,,,,,,,,,94.915,330.781,0.003,,0.025,,,95.003,331.191,0.004,,0.024,,,95.114,331.443,0.005,,0.023,,,95.224,331.460,0.007,,0.023,,,,,,0.119,95.233,0.007,,0.397,331.841,0.022,,,0.199,95.313,0.008,,0.455,331.898,0.022,,,0.274,95.388,0.008,,0.355,331.799,0.022,,,0.331,95.444,0.009,,0.051,331.495,0.023,
1/9/2020,6,95.05249786,335.6600037,,,,,,,,,,,,,94.820,333.325,0.002,,0.007,,,94.821,334.822,0.002,,0.002,,,94.805,336.133,0.003,,0.001,,,94.755,337.310,0.003,,0.005,,,,,,-0.009,94.795,0.003,,1.685,337.818,0.006,,,-0.029,94.775,0.003,,2.361,338.494,0.008,,,-0.076,94.729,0.003,,2.956,339.090,0.010,,,-0.149,94.655,0.004,,3.530,339.664,0.012,
1/10/2020,7,94.15799713,329.0499878,,,,,,,,,,,,,94.890,334.026,0.008,,0.015,,,94.925,335.199,0.008,,0.019,,,94.953,335.849,0.008,,0.021,,,94.978,336.073,0.009,,0.021,,,,,,0.038,94.991,0.009,,1.094,336.944,0.024,,,0.051,95.004,0.009,,1.171,337.020,0.024,,,0.059,95.012,0.009,,1.012,336.861,0.024,,,0.074,95.028,0.009,,0.670,336.519,0.023,
1/13/2020,8,94.56500244,338.9200134,,,,,,,,,,,,,94.670,332.533,0.001,,0.019,,,94.580,332.432,0.000,,0.019,,,94.476,331.770,0.001,,0.021,,,94.363,330.806,0.002,,0.024,,,,,,-0.116,94.360,0.002,,-0.458,331.312,0.022,,,-0.187,94.289,0.003,,-1.192,330.578,0.025,,,-0.263,94.213,0.004,,-2.043,329.727,0.027,,,-0.339,94.137,0.005,,-2.892,328.877,0.030,
1/14/2020,9,93.47200012,338.6900024,,,,,,,,,,,,,94.639,334.449,0.012,,0.013,,,94.573,335.352,0.012,,0.010,,,94.529,336.060,0.011,,0.008,,,94.515,336.891,0.011,,0.005,,,,,,-0.066,94.464,0.011,,0.967,337.026,0.005,,,-0.079,94.451,0.010,,1.275,337.335,0.004,,,-0.073,94.456,0.011,,1.757,337.817,0.003,,,-0.045,94.485,0.011,,2.495,338.554,0.000,
1/15/2020,10,93.10099792,339.0700073,,,,,,,,,,,,,94.289,335.721,0.013,,0.010,,,94.078,336.854,0.010,,0.007,,,93.895,337.638,0.009,,0.004,,,93.733,338.240,0.007,,0.002,,,,,,-0.236,93.659,0.006,,1.150,338.788,0.001,,,-0.329,93.566,0.005,,1.411,339.049,0.000,,,-0.410,93.485,0.004,,1.650,339.288,0.001,,,-0.487,93.408,0.003,,1.807,339.445,0.001,
1/16/2020,11,93.89700317,338.6199951,,,,,,,,,,,,,93.932,336.726,0.000,,0.006,,,93.638,337.851,0.003,,0.002,,,93.419,338.497,0.005,,0.000,,,93.259,338.863,0.007,,0.001,,,,,,-0.308,93.110,0.008,,1.063,339.560,0.003,,,-0.395,93.023,0.009,,1.163,339.660,0.003,,,-0.450,92.969,0.010,,1.175,339.673,0.003,,,-0.479,92.940,0.010,,1.096,339.593,0.003,
1/17/2020,12,93.23600006,339.6700134,,,,,,,,,,,,,93.922,337.294,0.007,,0.007,,,93.755,338.197,0.006,,0.004,,,93.706,338.571,0.005,,0.003,,,93.737,338.681,0.005,,0.003,,,,,,-0.130,93.576,0.004,,0.766,339.337,0.001,,,-0.088,93.617,0.004,,0.673,339.244,0.001,,,-0.008,93.698,0.005,,0.514,339.085,0.002,,,0.096,93.801,0.006,,0.329,338.900,0.002,
1/21/2020,13,94.59999847,338.1099854,,,,,,,,,,,,,93.716,338.007,0.009,,0.000,,,93.521,338.860,0.011,,0.002,,,93.424,339.230,0.012,,0.003,,,93.361,339.423,0.013,,0.004,,,,,,-0.175,93.249,0.014,,0.734,339.964,0.005,,,-0.175,93.249,0.014,,0.667,339.897,0.005,,,-0.172,93.252,0.014,,0.601,339.832,0.005,,,-0.187,93.236,0.014,,0.577,339.807,0.005,
1/22/2020,14,94.3730011,326,,,,,,,,,,,,,93.981,338.038,0.004,,0.037,,,94.007,338.522,0.004,,0.038,,,94.130,338.558,0.003,,0.039,,,94.290,338.438,0.001,,0.038,,,,,,0.089,94.219,0.002,,0.312,338.870,0.039,,,0.221,94.351,0.000,,0.064,338.622,0.039,,,0.355,94.484,0.001,,-0.163,338.395,0.038,,,0.482,94.612,0.003,,-0.360,338.198,0.037,
1/23/2020,15,94.22899628,349.6000061,,,,,,,,,,,,,94.099,334.426,0.001,,0.043,,,94.172,332.887,0.001,,0.048,,,94.276,331.023,0.000,,0.053,,,94.352,329.110,0.001,,0.059,,,,,,0.106,94.382,0.002,,-2.042,328.981,0.059,,,0.187,94.463,0.002,,-3.355,327.668,0.063,,,0.229,94.505,0.003,,-4.586,326.437,0.066,,,0.230,94.506,0.003,,-5.741,325.282,0.070,
